id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,status_sekolah,alamat_sekolah,tahun
19337,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3208071,CIBEUREUM,32.08.28,CIBEUREUM,SDN BANTARGEDANG,20224491,NEGERI,BANTARGEDANG KELURAHAN KERSANAGARA KECAMATAN CIBEUREUM KOTA TASIKMALAYA,2023
19338,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3208071,CIBEUREUM,32.08.28,CIBEUREUM,SDN CIBANGUN KIDUL,20224464,NEGERI,CIBANGUN KIDUL,2023
19339,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3208071,CIBEUREUM,32.08.28,CIBEUREUM,SDN CIBEUREUM,20224474,NEGERI,JL. KH. KHOER AFFANDI NO.62,2023
1934,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202210,CIBADAK,32.02.11,CIBADAK,SD ISLAM ATTARBIYAH,60726665,SWASTA,JL. RAYA SEGOG NO. 12/269 RT 02/02 DESA BATUNUNGGUL KEC. CIBADAK KAB. SUKABUMI,2023
19340,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3208071,CIBEUREUM,32.08.28,CIBEUREUM,SDN CONDONG,20224329,NEGERI,KP. CONDONG,2023
19341,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3208071,CIBEUREUM,32.08.28,CIBEUREUM,SDN KOTABARU,20224382,NEGERI,JL. ARTHAMULYA I,2023
19342,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3208071,CIBEUREUM,32.08.28,CIBEUREUM,SDN MARGAMULYA,20224362,NEGERI,JL. MARGAMULYA,2023
19343,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3208071,CIBEUREUM,32.08.28,CIBEUREUM,SDN SINDANGRASA,20224698,NEGERI,KP. SINDANGRASA,2023
19344,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3208071,CIBEUREUM,32.08.28,CIBEUREUM,SD ISLAMIC LEADER SCHOOL,70006897,SWASTA,JL. BANDUNG NO.140 PERUM KOTA BARU,2023
19345,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3214112,BUNGURSARI,32.14.13,BUNGURSARI,SDN 1 CIBUNIGEULIS,20224469,NEGERI,JL. BANTARSARI RT.05 RW.05,2023
19346,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3214112,BUNGURSARI,32.14.13,BUNGURSARI,SDN 1 MANANGGA,20224340,NEGERI,JL. SUKAMULYA,2023
